X,Y,OBJECTID,HASTUS,TRANSLINK_ID,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
502018.9141,6952206.7762,3913,5559,304995,Salisbury Station Beaudesert Road,BEAUDESERT RD,Lillian Av,502018.9,6952206.8,-27.553953,153.02045,ROCKLEA,2 - Intermediate,N,Hard,Easy,Easy,
503262.1352,6952888.6167,3914,5560,305107,McCarthy Road - 44,McCarthy Rd,Cubitt St,503262.1,6952888.6,-27.547795,153.033041,SALISBURY,2 - Intermediate,Y,Easy,Easy,Easy,2018/07/11 00:00:00+00
503260.1763,6952947.5457,3915,5561,305130,McCarthy Road - 44,McCarthy Rd,Cubitt St,503260.2,6952947.6,-27.547263,153.033021,SALISBURY,2 - Intermediate,Y,Easy,Easy,Easy,2017/06/30 00:00:00+00
503155.2228,6952170.3146,3916,5562,,Salisbury Interchange - Stop 48 - Zone B,CRIPPS ST,,503155.2,6952170.3,-27.55428,153.03196,SALISBURY,Interchange,N,Hard,Hard,Hard,
503222.4439,6952132.4145,3917,5564,305119,Salisbury Interchange - Zone A,LILLIAN AVE,Regis St,503222.4,6952132.4,-27.554622,153.032641,SALISBURY,2 - Intermediate,Y,Easy,Easy,Medium,2017/07/21 00:00:00+00
502177.5218,6951413.8714,3918,5565,304990,Musgrave Road - 41,BEAUDESERT RD,Musgrave Rd,502177.5,6951413.9,-27.561111,153.022058,COOPERS PLAINS,4 - Regular,N,Hard,Easy,Easy,
503524.6412,6950433.3696,3919,5566,300489,Rosedale Street - 45/58,Boundary Rd,Rosedale St,503524.6,6950433.4,-27.56996,153.035707,COOPERS PLAINS,2 - Intermediate,Y,Easy,Medium,Easy,2018/05/09 00:00:00+00
503820.9634,6950731.247,3920,5567,300491,Rookwood Avenue - 56,Orange Grove Rd,Rookwood Av,503821,6950731.2,-27.56727,153.038708,COOPERS PLAINS,4 - Regular,Y,Easy,Easy,Medium,
503828.6508,6950692.2542,3921,5568,300441,Rookwood Avenue - 56,Orange Grove Rd,The Village Ave,503828.7,6950692.2,-27.567622,153.038786,COOPERS PLAINS,2 - Intermediate,Y,Easy,Easy,Medium,
503871.0797,6950949.3338,3922,5569,300440,Bosworth Street - 55,Orange Grove Rd,Bosworth St,503871.1,6950949.3,-27.565301,153.039215,COOPERS PLAINS,2 - Intermediate,Y,Easy,Medium,Easy,2017/07/21 00:00:00+00
503853.502,6950928.2934,3923,5570,300492,Bosworth Street - 55,Orange Grove Rd,Keeling St,503853.5,6950928.3,-27.565491,153.039037,COOPERS PLAINS,2 - Intermediate,Y,Easy,Medium,Easy,2017/07/21 00:00:00+00
